spotify_id,name,artists,artists_ids,song_genre,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,Xavi,3Me35AWHCGqW4sZ7bWWJt1,other,23,0,-5,,2024-03-03,96,True,156345,La Víctima,2023-08-17,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,4
7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,hip-hop,24,0,-2,,2024-03-03,85,True,215466,The Highlights (Deluxe),2024-02-09,0.854,0.668,1,-6.243,1,0.2,0.0604,8.39e-05,0.382,0.833,99.018,4
7iUtQNMRB8ZkKC4AmEuCJC,LA FALDA,Myke Towers,7iK8PXO48WeuP03g8YR51W,reggae,25,-4,-1,,2024-03-03,94,True,174229,LVEU: VIVE LA TUYA...NO LA MIA,2023-09-18,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,4
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,3SozjO3Lat463tQICI9LcE,other,26,14,5,,2024-03-03,94,False,200255,Water,2023-07-28,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,4
7gaA3wERFkFkgivjwbSvkG,"yes, and?",Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop,27,3,-2,,2024-03-03,96,True,214994,"yes, and?",2024-01-12,0.788,0.758,1,-6.513,1,0.0505,0.198,8.5e-05,0.104,0.823,119.008,4
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,Bad Bunny,4q3ewBCX7sLwd24euuV69X,reggae,28,-1,-5,,2024-03-03,95,True,162767,nadie sabe lo que va a pasar mañana,2023-10-13,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,4
5RqSsdzTNPX1uzkmlHCFvK,QLONA,KAROL G,790FomKkXshlbRYZFtlgla,reggae,29,4,0,,2024-03-03,93,True,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,4
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,pop,30,2,-3,,2024-03-03,95,False,200600,Endless Summer Vacation,2023-08-18,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,4
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,6HaGTQPmzraVmaVxvz6EUc,pop,31,-3,-5,,2024-03-03,89,True,183550,GOLDEN,2023-11-03,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,pop,32,3,-4,,2024-03-03,95,False,172964,Strangers,2023-09-01,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,4
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,pop,33,-2,-1,,2024-03-03,95,True,219724,GUTS,2023-09-08,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,4
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,acoustic,34,-9,1,,2024-03-03,83,False,208211,Strange Trails,2015-04-07,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,hip-hop,35,-9,-1,,2024-03-03,94,True,230453,Starboy,2016-11-25,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,acoustic,36,0,7,,2024-03-03,94,False,227195,Zach Bryan,2023-08-25,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,pop,37,2,-1,,2024-03-03,86,True,230480,Scarlet,2023-09-20,0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,4
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,7tYKF4w9nC0nq9CsPZTHyP,other,38,-4,-5,,2024-03-03,94,True,201800,SOS,2022-12-09,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4
69phA1R4gmQsBFRQ3INW8C,ONE CALL,Rich Amiri,2sF5nNXnrrsCPZlt8ZpyGd,hip-hop,39,11,11,,2024-03-03,87,True,121399,Ghetto Fabulous,2023-11-17,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,4
4UkUxO2WlKLc0Q1iEutGGh,CONTIGO (with Tiësto),KAROL G,790FomKkXshlbRYZFtlgla,reggae,40,3,-2,,2024-03-03,90,False,192786,CONTIGO (with Tiësto),2024-02-15,0.846,0.545,5,-7.826,1,0.0736,0.178,6.23e-06,0.0989,0.268,122.029,4
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,33NVpKoXjItPwUJTMZIOiY,other,41,3,5,,2024-03-03,94,False,212953,Daylight,2023-04-14,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,other,42,8,0,,2024-03-03,94,True,197333,BELLAKEO,2023-12-07,0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,4
4bw8mcDUSRWfQo63ZTYRnU,Según Quién,Maluma,1r4hJ1h58CWwUQe3MxPuau,reggae,43,7,7,,2024-03-03,89,True,142334,Don Juan,2023-08-25,0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987,3
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,pop,44,2,3,,2024-03-03,94,False,167303,Harry's House,2022-05-20,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,Flo Milli,08PvCOlef4xdOr20jFSTPd,hip-hop,45,0,3,,2024-03-03,93,True,125901,Never Lose Me,2023-11-30,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,4
6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),Kali Uchis,1U1el3k54VvEUzo3ybLPlM,pop,46,1,-6,,2024-03-03,95,False,260370,ORQUÍDEAS,2024-01-12,0.685,0.61,5,-5.36,0,0.0343,0.00348,0.00054,0.183,0.464,107.999,4
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,pop,47,1,-3,,2024-03-03,94,False,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,4
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,pop,48,2,2,,2024-03-03,91,False,233478,Unorthodox Jukebox,2012-12-07,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,4
04CyMEHliadfQWMUJb1w99,BURN,¥$,4xPQFgDA5M2xa0ZGo5iIsv,other,49,-7,-10,,2024-03-03,89,True,111458,VULTURES 1,2024-02-09,0.6,0.885,11,-6.21,0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,4
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,pop,50,0,-9,,2024-03-03,95,False,206019,GOLDEN,2023-11-03,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4
