spotify_id,name,artists,artists_ids,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,7GlBOeep6PqTfFi59PTUUN,8,-1,1,,2024-07-21,95,False,218423,"Good Luck, Babe!",2024-04-05,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,22wbnEMDvgVIAGdFeek6ET,9,0,2,,2024-07-21,91,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,3y2cIKLjiOlp1Np37WiUdH,10,0,-2,,2024-07-21,88,True,171291,"Where I've Been, Isn't Where I'm Going",2024-05-31,0.722,0.706,9,-4.857,1,0.0292,0.072,0.0,0.067,0.599,80.969,4
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,11,0,2,,2024-07-21,95,False,155151,MILLION DOLLAR BABY,2024-04-26,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4
5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult","5MraexJKZDrQYzS98kNwie, 6tzRZ39aZlNqlUzQlkuhDV, 1QsdzIKkTT5gDFj8GB1cIX",12,0,22,,2024-07-21,88,False,161655,Alibi (with Pabllo Vittar & Yseult),2024-06-28,0.741,0.754,11,-5.412,0,0.0327,0.00526,8.21e-06,0.125,0.717,126.98,4
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen","246dkjvS1zLTtiykXe5h60, 4oUHIQIBe0LHzYfvXNW4QM",13,1,2,,2024-07-21,95,True,178205,I Had Some Help,2024-05-10,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,4
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,2FXC3k01G6Gw61bmprjgqS,14,-1,0,,2024-07-21,89,False,251424,Unreal Unearth: Unheard,2024-03-22,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
1CDQzbCz4KSQxHe7LMEgRM,Houdini,Eminem,7dGJo4pcD2V6oG8kP0tJRR,15,0,-9,,2024-07-21,82,True,227032,The Death of Slim Shady (Coup De Grâce),2024-07-12,0.936,0.878,9,-2.798,0,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,16,0,3,,2024-07-21,91,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,3bO19AOone0ubCsfDXDtYt,17,1,6,,2024-07-21,93,False,172533,Stargazing,2024-05-10,0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,4
