id,name,genre,popularity,pop,rock,jazz,classical,blues,hip-hop,reggae,electronic,acoustic,other
0c173mlxpT3dSFRgMO8XPh,Big Sean,"detroit-hip-hop,hip-hop,pop-rap,r&b,rap,southern-hip-hop,trap",78,1,0,0,0,0,1,0,0,0,0
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance-pop,pop",96,1,0,0,0,0,0,0,0,0,0
0elWFr7TW8piilVRYJUe4P,Natanael Cano,"corrido,corridos-tumbados,musica-mexicana,sad-sierreno,sierreno",89,0,0,0,0,0,0,0,0,0,1
0fGcIStdT1OpFFhOC7Wp36,Teezo Touchdown,,75,0,0,0,0,0,0,0,0,0,1
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"hip-pop,pop,queens-hip-hop,rap",87,1,0,0,0,0,1,0,0,0,0
0i1s9WcIu0PrUvHzALgofo,Seu Jorge,"mpb,samba-rock",70,0,1,0,0,0,0,0,0,0,0
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,rap,90,0,0,0,0,0,1,0,0,0,0
0jPHHnU8GUWEF7rwPE9osY,Jordan Adetunji,irish-hip-hop,73,0,0,0,0,0,1,0,0,0,0
0jbo7KFNMiIkfBR6ih0yhm,iñigo quintero,,68,0,0,0,0,0,0,0,0,0,1
0mA4dkNGiN4fqTBi2SLlAv,Edgardo Nuñez,"corrido,corridos-tumbados,sad-sierreno,sierreno",73,0,0,0,0,0,0,0,0,0,1
0n4Fao9kbjgM76RmVlfSwr,YG Marley,,65,0,0,0,0,0,0,0,0,0,1
0oK8UXKZbQezeRhE0KeBAV,Henri René and His Orchestra,man's-orchestra,54,0,0,0,1,0,0,0,0,0,0
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,"corrido,sad-sierreno,sierreno",87,0,0,0,0,0,0,0,0,0,1
0sKsReKseslDlhxmbN6wLk,BabyTron,"detroit-hip-hop,scam-rap",70,0,0,0,0,0,1,0,0,0,0
0tkHE1pQ5ZCgQb8WZ0ba79,Gaeko,"k-rap,korean-r&b",65,0,0,0,0,0,1,0,0,0,0
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,"colombian-pop,latin-pop,reggaeton,reggaeton-colombiano,trap-latino,urbano-latino",84,1,0,0,0,0,1,1,0,0,0
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,"classic-uk-pop,rockabilly",57,1,1,0,0,0,0,0,0,0,0
0xj9MJx9r0wO2o4aqdergP,DJ TOPO,"deboxe,funk-mtg,rave-funk",72,0,0,0,0,0,0,0,1,0,0
0xliTEbFfy5HQHvsTknTkX,Alphaville,"new-romantic,new-wave-pop,synthpop",75,1,0,0,0,0,0,0,0,0,0
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,"corrido,corridos-tumbados,sad-sierreno,sierreno",91,0,0,0,0,0,0,0,0,0,1
10exVja0key0uqUkk6LJRT,Vance Joy,"folk-pop,modern-rock",78,1,1,0,0,0,0,0,0,0,0
11kt6ggsdxvI8MhyeSMKom,CYRIL,,80,0,0,0,0,0,0,0,0,0,1
11p2E654TTU8e0nZWBR4AL,Mark Ambor,singer-songwriter-pop,75,1,0,0,0,0,0,0,0,0,0
124jbwgd8Hh6LW7jAqTa8r,Agatino Romero,,66,0,0,0,0,0,0,0,0,0,1
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,"corridos-tumbados,sad-sierreno",93,0,0,0,0,0,0,0,0,0,1
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,"atl-hip-hop,dirty-south-rap,hip-hop,pop-rap,rap,southern-hip-hop,trap",78,1,0,0,0,0,1,0,0,0,0
163tK9Wjr9P9DmM0AVK7lm,Lorde,"art-pop,metropopolis,nz-pop,pop",78,1,0,0,0,0,0,0,0,0,0
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,"houston-rap,pop,rap,trap-queen",83,1,0,0,0,0,1,0,0,0,0
18dspUI6gqabm5XCC2RcUD,SOG,reggaeton-colombiano,69,0,0,0,0,0,0,1,0,0,0
19HM5j0ULGSmEoRcrSe5x3,Milo j,"trap-argentino,trap-latino,urbano-latino",83,0,0,0,0,0,1,1,0,0,0
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,"country-rap,modern-country-pop,nashville-hip-hop,tennessee-hip-hop",83,1,0,0,0,0,1,0,0,0,0
1AwO9pWEBSBoWdEZu28XDC,Eartha Kitt,"torch-song,vocal-jazz",58,0,0,1,0,0,0,0,0,0,0
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"big-room,dance-pop,edm,pop,pop-dance",90,1,0,0,0,0,0,0,1,0,0
1Do4bSzfUl0KWL9r1fITu0,YOON MIRAE,"k-pop,korean-ost,korean-pop,korean-r&b",65,1,0,0,0,0,0,0,0,0,0
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,"adult-standards,canadian-pop,jazz-pop,lounge",78,1,0,0,0,0,0,0,0,0,0
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"art-pop,dance-pop,pop",92,1,0,0,0,0,0,0,0,0,0
1K7IC4qha4KEXySo6yZmnH,Michelangelo,,60,0,0,0,0,0,0,0,0,0,1
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,89,1,0,0,0,0,0,0,0,0,0
1Ml4OuStDoympbREURAM15,The Fontane Sisters,"deep-adult-standards,vocal-harmony-group",56,0,0,0,1,0,0,0,0,0,0
