id,name,genre,popularity
2e4G04F77jxVuDYo44TCSm,Loco,"k-pop,k-rap,korean-r&b",67
2lnesmkx2eGDj0wTUv61Ch,Rocky CDE,viet-chill-rap,46
2nSO7JYDbJrYbJmP39qUzj,Binz,"v-pop,vietnamese-hip-hop",62
2rKtPYcwYmevNcaqzJOwvf,MANBO,"v-pop,vietnamese-hip-hop",56
2rVYwIYNEsMxtt8j5yemHb,T.R.I,"indie-viet,v-pop,viet-lo-fi",51
2rv0GwxSEWKhz54nLluNhK,Phankeo,viet-chill-rap,45
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian-hip-hop,85
2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn-indie,pov:-indie",84
2v14NO80QYditUms7sbEIZ,Trung Trần,viet-chill-rap,53
2xvW7dgL1640K8exTcRMS4,Chillies,"indie-viet,v-pop",55
2xyEAgqFAAy5yqRZ7mHd9c,Khiem,viet-chill-rap,48
30eFAXoU2kTjJPf2cq80B8,WEAN,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",62
36cgvBn0aadzOijnjjwqMN,ILLIT,5th-gen-k-pop,76
38OwdN8usl5rnYYYK006C3,Quyền Thiện Đắc,"indie-viet,classical",25
38QautgC2LNYKiu10BB0sF,Nau,viet-chill-rap,52
39HlpQmjGAer2XWNh0Ro83,Lãng,,46
3E0b68wCGYihuHBtlasfm9,Lâm Bảo Ngọc,,54
3E6LGptA8lBEXPHAQCE3vr,Kai Đinh,"v-pop,viet-lo-fi",54
3FwYnbtGNt8hJfjNuOfpeG,Hà Anh Tuấn,v-pop,52
3HD3V1nGFPwepBO7064Ij0,PC,vietnamese-melodic-rap,52
3HqSLMAZ3g3d5poNaI7GOU,IU,"k-pop,pop",71
3JkGKNawown8MgcJsDw1WT,Duongg,viet-chill-rap,53
3JsHnjpbhX4SnySpvpa9DK,V,"j-division,korean-ost",83
3KJopZ2uUclqEtLxQg0FNn,Jack - J97,"v-pop,vietnamese-idol-pop",45
3LbBKYlyMaATS8IIe7HJ0d,Hoàng Duyên,v-pop,48
3MdXrJWsbVzdn6fe5JYkSQ,Latto,trap-queen,80
3MvzeyFj6sJND8RBDiZVDs,Tien,,44
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"k-pop,k-pop-boy-group,pop",87
3T3DOlgOEkr243zdzFCrXW,GDucky,v-pop,42
3Tehj7YghQc7zH0I1faGc6,BigDaddy,"v-pop,vietnamese-hip-hop",53
3Ufoo4BPShhahtCSjgpBLP,Hứa Kim Tuyền,v-pop,53
3Wj34lTDJnPp70u4YCl4jz,Lil Wuyn,"vietnamese-hip-hop,vietnamese-melodic-rap",48
3diftVOq7aEIebXKkC34oR,tlinh,"indie-viet,v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",68
3eVa5w3URK5duf6eyVDbu9,ROSÉ,k-pop,83
3hRnvEdu1iPyB6EzMBbuZq,Shiki,viet-chill-rap,58
3kcYkLL2sI2lCsIW0OS1fu,Jmi Ko,,49
3mibIJiduF0MVLLAvHZAxw,Noo Phước Thịnh,v-pop,50
3oD2yI1g6aT3KawHD8ZYaU,TeuYungBoy,vietnamese-hip-hop,52
3rSAej8VUifF02zpsGjsRZ,DONAL,vietnamese-hip-hop,50
3rjcQ5VIWCN4q7UFetzdeO,JustaTee,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",59
3y0Tmt0epaxAHy6L89dGGC,Ngô Lan Hương,v-pop,50
3y6Lfjkrdn5TgkbgDxbpvM,marzuz,"rock-viet,viet-chill-rap",54
40JnMfFlpwqBnWitkL96g4,Isaac,v-pop,58
41X1TR6hrK8Q2ZCpp2EqCz,bbno$,"canadian-hip-hop,dark-trap,meme-rap",74
47mIJdHORyRerp4os813jD,League of Legends,"speedrun,video-game-music",79
48JtfAggQQpfUXQNxkGm5U,Dept,bedroom-r&b,56
4APrfmUo8KRrjCVuyoKvwY,Olew,v-pop,50
4ClziihVpBeFXNyDH83Lde,UMI,"alternative-r&b,bedroom-soul",62
4KPyQxL1zqEiBcTwW6c9HE,Dương Domic,v-pop,63
4RPhZ2g5GYff0hKNBlZKXh,Ali Hoàng Dương,v-pop,59
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,"bedroom-pop,pop,pov:-indie",80
4XpUIb8uuNlIWVKmgKZXC0,ZICO,"k-pop,korean-r&b",67
4bPYvyUn1mWwUwIW57oST2,Emcee L (Da LAB),"v-pop,vietnamese-hip-hop",54
4cLYlDISnWaErAitB8kRph,Quang Trung,"v-pop,viet-lo-fi",57
4dH6uW4FU977FDuTcCHGUf,RIO,viet-chill-rap,50
4fCHhderLwLacsIOIKgu3J,Bảo Anh,v-pop,48
4fg8aMZ23d2bxKz7r2vt9v,Negav,"v-pop,vietnamese-hip-hop",65
4grjJqg7iwQ8RKHs8d9Snh,Andree Right Hand,"vietnamese-hip-hop,vietnamese-trap",55
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,"dance-pop,pop,urban-contemporary",80
