id,name,genre,popularity,pop,rock,jazz,classical,blues,hip-hop,reggae,electronic,acoustic,other
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian-contemporary-r&b,canadian-pop,pop",96,1,0,0,0,0,0,0,0,0,1
1dwfi5uS5pfQMhAic73Q7L,The Masked Singer,,53,0,0,0,0,0,0,0,0,0,1
1jLM6ulW6ldwRWX9smNYmt,267,viet-chill-rap,47,0,0,0,0,0,1,0,0,0,0
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,"baroque-pop,modern-rock,neo-mellow,uk-alternative-pop",79,1,1,0,0,0,0,0,0,0,1
1n9JKdEdLxrbgJiqz1WZFJ,Tăng Duy Tân,v-pop,50,1,0,0,0,0,0,0,0,0,0
1nX1HVIUo1Zfs3e2v3lFb9,Changg,v-pop,49,1,0,0,0,0,0,0,0,0,0
1oD9fKbb7qQ2nhn9JJC24F,Thắng,v-pop,54,1,0,0,0,0,0,0,0,0,0
1oSPZhvZMIrWW5I41kPkkY,Jimin,k-pop,88,1,0,0,0,0,0,0,0,0,0
1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp,pop,77,1,0,0,0,0,0,0,0,0,0
1pKPrziZw7C4GvOlBIXqP5,Captain,,59,0,0,0,0,0,0,0,0,0,1
1y28JlO6rDMUB5rkcA4RAh,52Hz,viet-chill-rap,52,0,0,0,0,0,1,0,0,0,0
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap,vietnamese-trap",64,1,0,0,0,0,1,0,0,0,0
22MX8BG5870DGzpNricY7q,VSOUL,"vietnamese-hip-hop,vietnamese-melodic-rap",50,0,0,0,0,0,1,0,0,0,0
23zg3TcAtWQy7J6upgbUnj,USHER,"atl-hip-hop,contemporary-r&b,dance-pop,pop,r&b,rap,south-carolina-hip-hop,urban-contemporary",83,1,0,0,0,0,1,0,0,0,1
246dkjvS1zLTtiykXe5h60,Post Malone,"dfw-rap,melodic-rap,pop,rap",91,1,0,0,0,0,1,0,0,0,0
250b0Wlc5Vk0CoUsaCY84M,JENNIE,k-pop,83,1,0,0,0,0,0,0,0,0,0
25JRC8aMGIGBIJ5KiINv3l,RPT Orijinn,"vietnamese-hip-hop,vietnamese-melodic-rap",48,0,0,0,0,0,1,0,0,0,0
25M5YMbLCbYDSFPhQXYE8c,Onionn.,,51,0,0,0,0,0,0,0,0,0,1
27RoKwun6jKycKbH2iYUFU,Minh Tốc & Lam,indie-viet,53,0,0,0,0,0,0,0,0,0,1
2BoU3GzyaG397l5ci1twa9,Shartnuss,viet-chill-rap,45,0,0,0,0,0,1,0,0,0,0
2Bwp23pD4UVsSkchHDZw4F,Karik,"v-pop,vietnamese-hip-hop",53,1,0,0,0,0,1,0,0,0,0
2I8garg5B5BsdmetbsXsjG,titie,,47,0,0,0,0,0,0,0,0,0,1
2KgvVPpQC2PQR0Vtb1zgT9,Thỏ Trauma,,30,0,0,0,0,0,0,0,0,0,1
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,"deep-underground-hip-hop,hip-hop,kentucky-hip-hop,pop-rap,rap",80,1,0,0,0,0,1,0,0,0,0
2NRcG7E1j2sSi8vnUzCcpi,Quân A.P,v-pop,59,1,0,0,0,0,0,0,0,0,0
2XKlSkrslCs0egLOvSB4Ul,Emily,v-pop,47,1,0,0,0,0,0,0,0,0,0
2ZjO6APYelcHcLd2pWMx8x,Badbies,,47,0,0,0,0,0,0,0,0,0,1
2aMo0CYbTieTisS0BlWc59,VSTRA,v-pop,55,1,0,0,0,0,0,0,0,0,0
2aQnC3DbZB9GbauvhAw7ve,AMEE,"v-pop,vietnamese-idol-pop",63,1,0,0,0,0,0,0,0,0,0
2auC28zjQyVTsiZKNgPRGs,RM,k-rap,78,0,0,0,0,0,1,0,0,0,0
2dC1IBU9NOD9xsQJ5RE7j7,Puppy,viet-chill-rap,53,0,0,0,0,0,1,0,0,0,0
2e4G04F77jxVuDYo44TCSm,Loco,"k-pop,k-rap,korean-r&b",67,1,0,0,0,0,1,0,0,0,1
2lnesmkx2eGDj0wTUv61Ch,Rocky CDE,viet-chill-rap,46,0,0,0,0,0,1,0,0,0,0
2nSO7JYDbJrYbJmP39qUzj,Binz,"v-pop,vietnamese-hip-hop",62,1,0,0,0,0,1,0,0,0,0
2rKtPYcwYmevNcaqzJOwvf,MANBO,"v-pop,vietnamese-hip-hop",56,1,0,0,0,0,1,0,0,0,0
2rVYwIYNEsMxtt8j5yemHb,T.R.I,"indie-viet,v-pop,viet-lo-fi",51,1,0,0,0,0,0,0,1,0,1
2rv0GwxSEWKhz54nLluNhK,Phankeo,viet-chill-rap,45,0,0,0,0,0,1,0,0,0,0
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian-hip-hop,85,0,0,0,0,0,1,0,0,0,0
2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn-indie,pov:-indie",84,0,0,0,0,0,0,0,0,0,1
2v14NO80QYditUms7sbEIZ,Trung Trần,viet-chill-rap,53,0,0,0,0,0,1,0,0,0,0
2xvW7dgL1640K8exTcRMS4,Chillies,"indie-viet,v-pop",55,1,0,0,0,0,0,0,0,0,1
2xyEAgqFAAy5yqRZ7mHd9c,Khiem,viet-chill-rap,48,0,0,0,0,0,1,0,0,0,0
30eFAXoU2kTjJPf2cq80B8,WEAN,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",62,1,0,0,0,0,1,0,0,0,0
36cgvBn0aadzOijnjjwqMN,ILLIT,5th-gen-k-pop,76,1,0,0,0,0,0,0,0,0,0
38OwdN8usl5rnYYYK006C3,Quyền Thiện Đắc,,25,0,0,0,0,0,0,0,0,0,1
38QautgC2LNYKiu10BB0sF,Nau,viet-chill-rap,52,0,0,0,0,0,1,0,0,0,0
39HlpQmjGAer2XWNh0Ro83,Lãng,,46,0,0,0,0,0,0,0,0,0,1
3E0b68wCGYihuHBtlasfm9,Lâm Bảo Ngọc,,54,0,0,0,0,0,0,0,0,0,1
3E6LGptA8lBEXPHAQCE3vr,Kai Đinh,"v-pop,viet-lo-fi",54,1,0,0,0,0,0,0,1,0,0
3FwYnbtGNt8hJfjNuOfpeG,Hà Anh Tuấn,v-pop,52,1,0,0,0,0,0,0,0,0,0
3HD3V1nGFPwepBO7064Ij0,PC,vietnamese-melodic-rap,52,0,0,0,0,0,1,0,0,0,0
3HqSLMAZ3g3d5poNaI7GOU,IU,"k-pop,pop",71,1,0,0,0,0,0,0,0,0,0
3JkGKNawown8MgcJsDw1WT,Duongg,viet-chill-rap,53,0,0,0,0,0,1,0,0,0,0
3JsHnjpbhX4SnySpvpa9DK,V,"j-division,korean-ost",83,1,0,0,0,0,0,0,0,0,1
3KJopZ2uUclqEtLxQg0FNn,Jack - J97,"v-pop,vietnamese-idol-pop",45,1,0,0,0,0,0,0,0,0,0
3LbBKYlyMaATS8IIe7HJ0d,Hoàng Duyên,v-pop,48,1,0,0,0,0,0,0,0,0,0
3MdXrJWsbVzdn6fe5JYkSQ,Latto,trap-queen,80,0,0,0,0,0,1,0,0,0,0
3MvzeyFj6sJND8RBDiZVDs,Tien,,44,0,0,0,0,0,0,0,0,0,1
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"k-pop,k-pop-boy-group,pop",87,1,0,0,0,0,0,0,0,0,0
3T3DOlgOEkr243zdzFCrXW,GDucky,v-pop,42,1,0,0,0,0,0,0,0,0,0
3Tehj7YghQc7zH0I1faGc6,BigDaddy,"v-pop,vietnamese-hip-hop",53,1,0,0,0,0,1,0,0,0,0
3Ufoo4BPShhahtCSjgpBLP,Hứa Kim Tuyền,v-pop,53,1,0,0,0,0,0,0,0,0,0
3Wj34lTDJnPp70u4YCl4jz,Lil Wuyn,"vietnamese-hip-hop,vietnamese-melodic-rap",48,0,0,0,0,0,1,0,0,0,0
3diftVOq7aEIebXKkC34oR,tlinh,"indie-viet,v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",68,1,0,0,0,0,1,0,0,0,1
3eVa5w3URK5duf6eyVDbu9,ROSÉ,k-pop,83,1,0,0,0,0,0,0,0,0,0
3hRnvEdu1iPyB6EzMBbuZq,Shiki,viet-chill-rap,58,0,0,0,0,0,1,0,0,0,0
3kcYkLL2sI2lCsIW0OS1fu,Jmi Ko,,49,0,0,0,0,0,0,0,0,0,1
3mibIJiduF0MVLLAvHZAxw,Noo Phước Thịnh,v-pop,50,1,0,0,0,0,0,0,0,0,0
3oD2yI1g6aT3KawHD8ZYaU,TeuYungBoy,,52,0,0,0,0,0,0,0,0,0,1
3rSAej8VUifF02zpsGjsRZ,DONAL,,50,0,0,0,0,0,0,0,0,0,1
3rjcQ5VIWCN4q7UFetzdeO,JustaTee,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",59,1,0,0,0,0,1,0,0,0,0
3y0Tmt0epaxAHy6L89dGGC,Ngô Lan Hương,v-pop,50,1,0,0,0,0,0,0,0,0,0
3y6Lfjkrdn5TgkbgDxbpvM,marzuz,"rock-viet,viet-chill-rap",54,0,1,0,0,0,1,0,0,0,0
40JnMfFlpwqBnWitkL96g4,Isaac,v-pop,58,1,0,0,0,0,0,0,0,0,0
41X1TR6hrK8Q2ZCpp2EqCz,bbno$,"canadian-hip-hop,dark-trap,meme-rap",74,0,0,0,0,0,1,0,0,0,0
47mIJdHORyRerp4os813jD,League of Legends,"speedrun,video-game-music",79,0,0,0,0,0,0,0,0,0,1
48JtfAggQQpfUXQNxkGm5U,Dept,bedroom-r&b,56,0,0,0,0,0,0,0,0,0,1
